country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity
Niger,4.166,0.131,0.867,0.221,0.39,0.175
Uganda,4.161,0.322,1.09,0.237,0.45,0.259
Benin,4.141,0.378,0.372,0.24,0.44,0.163
Sudan,4.139,0.605,1.24,0.312,0.016,0.134
Ukraine,4.103,0.793,1.413,0.609,0.163,0.187
Togo,3.999,0.259,0.474,0.253,0.434,0.158
Guinea,3.964,0.344,0.792,0.211,0.394,0.185
Lesotho,3.808,0.472,1.215,0.079,0.423,0.116
Angola,3.795,0.73,1.125,0.269,0.0,0.079
Madagascar,3.774,0.262,0.908,0.402,0.221,0.155
Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132
Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191
Botswana,3.59,1.017,1.174,0.417,0.557,0.042
Malawi,3.587,0.186,0.541,0.306,0.531,0.21
Haiti,3.582,0.315,0.714,0.289,0.025,0.392
Liberia,3.495,0.076,0.858,0.267,0.419,0.206
Syria,3.462,0.689,0.382,0.539,0.088,0.376
Rwanda,3.408,0.332,0.896,0.4,0.636,0.2
Yemen,3.355,0.442,1.073,0.343,0.244,0.083
Tanzania,3.303,0.455,0.991,0.381,0.481,0.27
South Sudan,3.254,0.337,0.608,0.177,0.112,0.224
Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218
Burundi,2.905,0.091,0.627,0.145,0.065,0.149
Finland,7.769,1.34,1.587,0.986,0.596,0.153
Denmark,7.6,1.383,1.573,0.996,0.592,0.252
Norway,7.554,1.488,1.582,1.028,0.603,0.271
Iceland,7.494,1.38,1.624,1.026,0.591,0.354
Netherlands,7.488,1.396,1.522,0.999,0.557,0.322
Switzerland,7.48,1.452,1.526,1.052,0.572,0.263
Sweden,7.343,1.387,1.487,1.009,0.574,0.267
New Zealand,7.307,1.303,1.557,1.026,0.585,0.33
Canada,7.278,1.365,1.505,1.039,0.584,0.285
Austria,7.246,1.376,1.475,1.016,0.532,0.244
Australia,7.228,1.372,1.548,1.036,0.557,0.332
Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144
Israel,7.139,1.276,1.455,1.029,0.371,0.261
Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194
United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348
Ireland,7.021,1.499,1.553,0.999,0.516,0.298
Germany,6.985,1.373,1.454,0.987,0.495,0.261
Belgium,6.923,1.356,1.504,0.986,0.473,0.16
United States,6.892,1.433,1.457,0.874,0.454,0.28
Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046
United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262
Malta,6.726,1.3,1.52,0.999,0.564,0.375
Mexico,6.595,1.07,1.323,0.861,0.433,0.074
France,6.592,1.324,1.472,1.045,0.436,0.111
Taiwan Province of China,6.446,1.368,1.43,0.914,0.351,0.242
Chile,6.444,1.159,1.369,0.92,0.357,0.187
