country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity
Gabon,4.829299927,0.988044381,1.10639751,0.522574842,0.369459897,0.052013602
South Africa,4.814099789,0.902140439,1.259086251,0.407034069,0.43478182,0.126406848
Iraq,4.784800053,0.982018709,1.011466622,0.529350698,0.283588052,0.153002068
Lebanon,4.771500111,0.889232516,1.19249332,0.788671136,0.18551667,0.158524141
Burkina Faso,4.768700123,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609
Gambia,4.750599861,0.256990552,0.882678688,0.353247881,0.403419524,0.425989687
Mali,4.729300022,0.352462649,0.97314173,0.234981522,0.377534449,0.16966705
Nigeria,4.724100113,0.645901859,0.986717939,0.167835936,0.435079455,0.221328124
Armenia,4.676799774,0.808262408,1.034576893,0.77585727,0.378075808,0.107225738
Georgia,4.672599792,0.847198069,0.7311939,0.694657624,0.485494107,0.047609735
Iran,4.672399998,1.029322505,0.886271179,0.749053836,0.301195472,0.27697894
Jordan,4.633399963,0.785179198,1.140118599,0.777624726,0.424855083,0.091494769
Mozambique,4.623600006,0.178741366,0.955202878,0.324223638,0.56077534,0.220422104
Kenya,4.583000183,0.476413399,0.905077755,0.536312759,0.519180536,0.393902093
Namibia,4.571100235,0.84008199,1.245738149,0.40687117,0.444598973,0.076454483
Ukraine,4.56069994,0.780434608,1.321316481,0.698674381,0.319423705,0.178551316
Liberia,4.557899952,0.174103007,0.920733929,0.392284274,0.405943096,0.226967871
Palestinian Territories,4.552800179,0.587819219,1.194755554,0.613826573,0.29870075,0.091816261
Uganda,4.43200016,0.312337428,1.052327394,0.378311664,0.401682556,0.264807373
Chad,4.422699928,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088
Tunisia,4.392199993,0.874742687,0.872167706,0.781156719,0.235860556,0.055881143
Mauritania,4.374599934,0.539684892,1.113323569,0.425184816,0.185714483,0.128899664
Sri Lanka,4.327000141,0.897986948,1.19494009,0.792036712,0.528632462,0.252666146
Congo (Kinshasa),4.31099987,0.062487468,0.833055019,0.277212054,0.36462298,0.254324883
Swaziland,4.308100224,0.827539742,1.064835191,0.215585828,0.299935788,0.067264833
Myanmar,4.308000088,0.67809093,1.098178267,0.495443076,0.597478867,0.569813728
Comoros,4.288599968,0.415620774,0.723232806,0.437383324,0.181028232,0.258538276
Togo,4.187200069,0.268116266,0.547622859,0.342731178,0.303539038,0.200774252
Ethiopia,4.186200142,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103
Madagascar,4.165599823,0.244553208,0.823694348,0.500617027,0.192967549,0.191190064
Egypt,4.151400089,0.875228941,0.982539535,0.596911311,0.373684734,0.068801254
Sierra Leone,3.926399946,0.240560383,0.747984946,0.203953966,0.382027686,0.257647008
Burundi,3.775300026,0.0,0.403575271,0.295212835,0.275399059,0.187401786
Zambia,3.759399891,0.536833763,0.896037281,0.36359334,0.49131754,0.250620902
Haiti,3.720799923,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656
Lesotho,3.652800083,0.45493874,1.088940024,0.100934811,0.409367532,0.102627642
India,3.573299885,0.730576158,0.644198656,0.54057014,0.581142247,0.237072483
Malawi,3.538000107,0.176534727,0.53036809,0.446163297,0.487389833,0.213185057
Yemen,3.527400017,0.392701775,1.177477121,0.41500017,0.243721485,0.094689012
Botswana,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487
Tanzania,3.476200104,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091
Central African Republic,3.475899935,0.041072082,0.0,0.0,0.292814463,0.253513217
Rwanda,3.312299967,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988
Zimbabwe,3.299200058,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187
South Sudan,2.816600084,0.289082974,0.553278506,0.208809033,0.065609254,0.209934607
Afghanistan,2.566900015,0.30070585,0.356433839,0.266051531,0.0,0.135234714
Finland,7.842,1.446,1.106,0.741,0.691,0.124
Denmark,7.62,1.502,1.108,0.763,0.686,0.208
Switzerland,7.571,1.566,1.079,0.816,0.653,0.204
Iceland,7.554,1.482,1.172,0.772,0.698,0.293
Netherlands,7.464,1.501,1.079,0.753,0.647,0.302
Norway,7.392,1.543,1.108,0.782,0.703,0.249
Sweden,7.363,1.478,1.062,0.763,0.685,0.244
Luxembourg,7.324,1.751,1.003,0.76,0.639,0.166
New Zealand,7.277,1.4,1.094,0.785,0.665,0.276
Austria,7.268,1.492,1.062,0.782,0.64,0.215
Australia,7.183,1.453,1.076,0.801,0.647,0.291
Israel,7.157,1.376,1.074,0.788,0.509,0.208
Germany,7.155,1.48,0.993,0.757,0.6,0.195
Canada,7.103,1.447,1.044,0.798,0.648,0.246
Ireland,7.085,1.644,1.092,0.753,0.606,0.238
Costa Rica,7.069,1.134,0.966,0.722,0.673,0.105
United Kingdom,7.064,1.423,1.062,0.757,0.58,0.34
Czech Republic,6.965,1.37,1.09,0.703,0.58,0.052
United States,6.951,1.533,1.03,0.621,0.554,0.252
Belgium,6.834,1.463,0.998,0.747,0.489,0.088
France,6.69,1.421,1.081,0.804,0.536,0.092
Bahrain,6.647,1.409,0.899,0.662,0.661,0.246
Malta,6.602,1.411,1.055,0.747,0.664,0.275
Taiwan Province of China,6.584,1.48,0.982,0.665,0.49,0.142
United Arab Emirates,6.561,1.555,0.86,0.594,0.67,0.236
Saudi Arabia,6.494,1.435,0.964,0.571,0.603,0.09
Spain,6.491,1.375,1.057,0.826,0.462,0.135
Italy,6.483,1.393,0.94,0.798,0.379,0.133
Slovenia,6.461,1.36,1.093,0.722,0.69,0.122
Guatemala,6.435,0.845,0.79,0.519,0.638,0.163
Uruguay,6.431,1.164,1.042,0.649,0.625,0.128
Singapore,6.377,1.695,1.019,0.897,0.664,0.176
Kosovo,6.372,0.937,0.807,0.483,0.593,0.356
Slovakia,6.331,1.304,1.066,0.653,0.468,0.107
Brazil,6.33,1.028,0.944,0.571,0.514,0.142
Mexico,6.317,1.126,0.83,0.634,0.585,0.092
Jamaica,6.309,0.891,0.932,0.599,0.618,0.099
Lithuania,6.255,1.35,1.065,0.612,0.476,0.056
Cyprus,6.223,1.377,0.765,0.801,0.464,0.178
Estonia,6.189,1.344,1.079,0.64,0.641,0.119
Panama,6.18,1.298,0.976,0.667,0.596,0.079
Uzbekistan,6.179,0.769,1.027,0.528,0.716,0.391
Chile,6.172,1.2,0.946,0.678,0.438,0.159
Poland,6.166,1.309,0.982,0.668,0.558,0.08
Kazakhstan,6.152,1.23,1.103,0.527,0.573,0.143
Romania,6.14,1.275,0.832,0.595,0.564,0.045
Kuwait,6.106,1.461,0.857,0.58,0.591,0.12
Serbia,6.078,1.101,0.924,0.634,0.482,0.189
El Salvador,6.061,0.845,0.675,0.565,0.615,0.116
Mauritius,6.049,1.178,0.996,0.574,0.59,0.153
Latvia,6.032,1.285,1.047,0.587,0.405,0.082
Colombia,6.012,1.021,0.866,0.615,0.554,0.1
Hungary,5.992,1.301,1.083,0.615,0.454,0.067
Thailand,5.985,1.107,0.957,0.596,0.611,0.375
Nicaragua,5.972,0.693,0.904,0.604,0.553,0.201
Japan,5.94,1.389,0.949,0.838,0.504,0.02
Argentina,5.929,1.162,0.98,0.646,0.544,0.069
Portugal,5.929,1.323,0.939,0.76,0.621,0.029
Honduras,5.919,0.703,0.787,0.593,0.578,0.241
Croatia,5.882,1.251,1.039,0.703,0.453,0.111
Philippines,5.88,0.853,0.828,0.426,0.651,0.125
South Korea,5.845,1.403,0.758,0.801,0.353,0.134
Peru,5.84,0.986,0.833,0.623,0.536,0.087
Bosnia and Herzegovina,5.813,1.032,0.919,0.618,0.395,0.261
Moldova,5.766,0.985,0.888,0.542,0.536,0.137
Ecuador,5.764,0.935,0.806,0.64,0.56,0.107
Kyrgyzstan,5.744,0.665,0.971,0.501,0.673,0.266
Greece,5.723,1.273,0.811,0.76,0.243,0.0
Bolivia,5.716,0.842,0.782,0.486,0.6,0.138
Mongolia,5.677,0.966,1.065,0.442,0.397,0.263
Paraguay,5.653,0.983,0.97,0.549,0.602,0.206
Montenegro,5.581,1.155,0.891,0.637,0.397,0.166
Dominican Republic,5.545,1.106,0.879,0.555,0.581,0.101
North Cyprus,5.536,1.377,0.806,0.801,0.503,0.196
Belarus,5.534,1.124,1.007,0.56,0.326,0.07
Russia,5.477,1.241,0.992,0.511,0.409,0.115
Hong Kong S.A.R. of China,5.477,1.525,0.841,0.893,0.408,0.232
Tajikistan,5.466,0.508,0.895,0.498,0.548,0.152
Vietnam,5.411,0.817,0.873,0.616,0.679,0.124
Libya,5.41,1.044,0.821,0.435,0.474,0.131
Malaysia,5.384,1.259,0.797,0.587,0.624,0.27
Indonesia,5.345,0.954,0.786,0.433,0.598,0.541
Congo (Brazzaville),5.342,0.518,0.392,0.307,0.381,0.144
China,5.339,1.061,0.785,0.665,0.636,0.093
Ivory Coast,5.306,0.669,0.409,0.052,0.438,0.177
Armenia,5.283,0.996,0.758,0.585,0.54,0.079
Nepal,5.269,0.519,0.702,0.496,0.488,0.287
Bulgaria,5.266,1.181,1.055,0.583,0.494,0.125
Maldives,5.198,1.115,1.015,0.697,0.575,0.204
Azerbaijan,5.171,1.025,0.841,0.541,0.526,0.043
Cameroon,5.142,0.543,0.556,0.159,0.425,0.205
Senegal,5.132,0.518,0.558,0.357,0.381,0.158
Albania,5.117,1.008,0.529,0.646,0.491,0.168
North Macedonia,5.101,1.068,0.772,0.535,0.45,0.212
Ghana,5.088,0.68,0.595,0.287,0.517,0.268
Niger,5.074,0.162,0.402,0.167,0.516,0.2
Turkmenistan,5.066,1.046,1.172,0.439,0.602,0.366
Gambia,5.051,0.367,0.511,0.21,0.384,0.465
Benin,5.045,0.507,0.058,0.196,0.457,0.166
Laos,5.03,0.808,0.598,0.33,0.643,0.268
Bangladesh,5.025,0.635,0.52,0.514,0.603,0.161
Guinea,4.984,0.42,0.399,0.206,0.384,0.25
South Africa,4.956,0.967,0.895,0.265,0.447,0.144
Turkey,4.948,1.26,0.809,0.59,0.236,0.097
Pakistan,4.934,0.637,0.423,0.322,0.418,0.252
Morocco,4.918,0.792,0.219,0.558,0.477,0.034
Venezuela,4.892,0.852,0.897,0.574,0.284,0.078
Georgia,4.891,1.03,0.47,0.498,0.488,0.032
Algeria,4.887,0.946,0.765,0.552,0.119,0.144
Ukraine,4.875,0.979,0.958,0.517,0.417,0.181
Iraq,4.854,0.91,0.638,0.381,0.302,0.153
Gabon,4.852,1.037,0.707,0.362,0.424,0.058
Burkina Faso,4.834,0.364,0.472,0.179,0.381,0.182
Cambodia,4.83,0.603,0.68,0.426,0.702,0.21
Mozambique,4.794,0.183,0.634,0.196,0.608,0.228
Nigeria,4.759,0.663,0.625,0.051,0.433,0.212
Mali,4.723,0.387,0.59,0.11,0.384,0.164
Iran,4.721,1.03,0.557,0.561,0.275,0.33
Uganda,4.636,0.364,0.718,0.24,0.398,0.267
Liberia,4.625,0.228,0.58,0.253,0.43,0.221
Kenya,4.607,0.603,0.508,0.385,0.483,0.375
Tunisia,4.596,0.919,0.515,0.59,0.334,0.057
Lebanon,4.584,1.045,0.868,0.595,0.175,0.14
Namibia,4.574,0.882,0.801,0.262,0.411,0.091
Palestinian Territories,4.517,0.646,0.819,0.434,0.33,0.082
Myanmar,4.426,0.666,0.713,0.341,0.601,0.52
Jordan,4.395,0.89,0.685,0.583,0.455,0.079
Chad,4.355,0.255,0.353,0.0,0.24,0.215
Sri Lanka,4.325,0.99,0.82,0.593,0.559,0.239
Swaziland,4.308,0.849,0.693,0.074,0.323,0.067
Comoros,4.289,0.488,0.367,0.279,0.202,0.241
Egypt,4.283,0.954,0.647,0.426,0.446,0.069
Ethiopia,4.275,0.37,0.679,0.331,0.451,0.241
Mauritania,4.227,0.666,0.749,0.273,0.218,0.119
Madagascar,4.208,0.266,0.503,0.341,0.207,0.185
Togo,4.107,0.254,0.239,0.203,0.289,0.209
Zambia,4.073,0.528,0.552,0.231,0.487,0.227
Sierra Leone,3.849,0.279,0.377,0.1,0.408,0.243
India,3.819,0.741,0.316,0.383,0.622,0.246
Burundi,3.775,0.0,0.062,0.155,0.298,0.172
Yemen,3.658,0.329,0.831,0.272,0.268,0.092
Tanzania,3.623,0.433,0.54,0.3,0.549,0.307
Haiti,3.615,0.294,0.173,0.227,0.257,0.463
Malawi,3.6,0.113,0.168,0.298,0.484,0.213
Lesotho,3.512,0.451,0.731,0.007,0.405,0.103
Botswana,3.467,1.099,0.724,0.34,0.539,0.027
Rwanda,3.415,0.364,0.202,0.407,0.627,0.227
Zimbabwe,3.145,0.457,0.649,0.243,0.359,0.157
Afghanistan,2.523,0.37,0.0,0.126,0.0,0.122
Finland,7.821,1.892,1.258,0.775,0.736,0.109
Denmark,7.636,1.953,1.243,0.777,0.719,0.188
Iceland,7.557,1.936,1.32,0.803,0.718,0.27
Switzerland,7.512,2.026,1.226,0.822,0.677,0.147
Netherlands,7.415,1.945,1.206,0.787,0.651,0.271
Luxembourg,7.404,2.209,1.155,0.79,0.7,0.12
Sweden,7.384,1.92,1.204,0.803,0.724,0.218
Norway,7.365,1.997,1.239,0.786,0.728,0.217
Israel,7.364,1.826,1.221,0.818,0.568,0.155
New Zealand,7.2,1.852,1.235,0.752,0.68,0.245
Austria,7.163,1.931,1.165,0.774,0.623,0.193
Australia,7.162,1.9,1.203,0.772,0.676,0.258
Ireland,7.041,2.129,1.166,0.779,0.627,0.19
Germany,7.034,1.924,1.088,0.776,0.585,0.163
Canada,7.025,1.886,1.188,0.783,0.659,0.217
United States,6.977,1.982,1.182,0.628,0.574,0.22
United Kingdom,6.943,1.867,1.143,0.75,0.597,0.289
Czechia,6.92,1.815,1.26,0.715,0.66,0.158
Belgium,6.805,1.907,1.106,0.764,0.492,0.049
France,6.687,1.863,1.219,0.808,0.567,0.07
Bahrain,6.647,1.854,1.029,0.625,0.693,0.199
Slovenia,6.63,1.81,1.249,0.769,0.685,0.118
Costa Rica,6.582,1.584,1.054,0.744,0.661,0.089
United Arab Emirates,6.576,1.998,0.98,0.633,0.702,0.204
Saudi Arabia,6.523,1.87,1.092,0.577,0.651,0.078
Taiwan Province of China,6.512,1.897,1.095,0.733,0.542,0.075
Singapore,6.48,2.149,1.127,0.851,0.672,0.163
Romania,6.477,1.719,1.006,0.655,0.605,0.039
Spain,6.476,1.808,1.211,0.808,0.505,0.101
Uruguay,6.474,1.615,1.18,0.672,0.665,0.103
Italy,6.467,1.834,1.052,0.801,0.412,0.085
Kosovo,6.455,1.362,0.949,0.569,0.599,0.309
Malta,6.447,1.838,1.169,0.789,0.679,0.174
Lithuania,6.446,1.804,1.204,0.659,0.496,0.053
Slovakia,6.391,1.736,1.232,0.707,0.479,0.118
Estonia,6.341,1.793,1.232,0.728,0.689,0.123
Panama,6.309,1.715,1.107,0.709,0.592,0.049
Brazil,6.293,1.462,1.044,0.615,0.546,0.131
Guatemala,6.262,1.274,0.831,0.522,0.662,0.112
Kazakhstan,6.234,1.668,1.22,0.611,0.584,0.134
Cyprus,6.221,1.815,0.909,0.819,0.448,0.123
Latvia,6.18,1.732,1.221,0.637,0.502,0.075
Serbia,6.178,1.55,1.086,0.658,0.546,0.219
Chile,6.172,1.651,1.08,0.748,0.46,0.124
Nicaragua,6.165,1.105,1.029,0.617,0.617,0.168
Mexico,6.128,1.552,0.886,0.623,0.621,0.092
Croatia,6.125,1.705,1.183,0.709,0.535,0.109
Poland,6.123,1.758,1.174,0.712,0.523,0.124
El Salvador,6.12,1.265,0.768,0.607,0.666,0.089
Kuwait,6.106,1.904,0.983,0.747,0.617,0.087
Hungary,6.086,1.748,1.233,0.668,0.485,0.078
Mauritius,6.071,1.591,1.116,0.568,0.589,0.131
Uzbekistan,6.063,1.219,1.092,0.6,0.716,0.283
Japan,6.039,1.835,1.089,0.866,0.537,0.007
Honduras,6.022,1.111,0.885,0.555,0.582,0.202
Portugal,6.016,1.76,1.078,0.777,0.655,0.016
Argentina,5.967,1.592,1.102,0.662,0.555,0.081
Greece,5.948,1.703,0.98,0.774,0.249,0.015
South Korea,5.935,1.851,0.886,0.841,0.414,0.111
Philippines,5.904,1.268,0.912,0.514,0.678,0.107
Thailand,5.891,1.535,1.096,0.697,0.617,0.321
Moldova,5.857,1.417,1.008,0.597,0.561,0.102
Jamaica,5.85,1.296,1.045,0.646,0.567,0.08
Kyrgyzstan,5.828,1.069,1.109,0.638,0.693,0.208
Belarus,5.821,1.562,1.157,0.629,0.342,0.04
Colombia,5.781,1.452,0.929,0.72,0.545,0.087
Bosnia and Herzegovina,5.768,1.468,1.068,0.665,0.448,0.244
Mongolia,5.761,1.393,1.197,0.467,0.398,0.247
Dominican Republic,5.737,1.538,1.003,0.577,0.606,0.084
Malaysia,5.711,1.689,0.938,0.62,0.654,0.213
Bolivia,5.6,1.256,0.88,0.555,0.627,0.112
China,5.585,1.508,0.958,0.705,0.656,0.099
Paraguay,5.578,1.409,1.13,0.624,0.629,0.171
Peru,5.559,1.397,0.865,0.735,0.545,0.09
Montenegro,5.547,1.573,1.023,0.659,0.46,0.135
Ecuador,5.533,1.352,0.879,0.708,0.565,0.08
Vietnam,5.485,1.252,0.932,0.611,0.707,0.143
Turkmenistan,5.474,1.484,1.319,0.516,0.649,0.314
North Cyprus,5.467,1.815,0.888,0.819,0.523,0.13
Russia,5.459,1.685,1.095,0.586,0.401,0.117
Hong Kong S.A.R. of China,5.425,1.957,0.954,0.942,0.4,0.147
Armenia,5.399,1.434,0.82,0.668,0.558,0.054
Tajikistan,5.377,0.966,1.005,0.518,0.572,0.118
Nepal,5.377,0.984,0.784,0.499,0.519,0.237
Bulgaria,5.371,1.625,1.163,0.64,0.563,0.123
Libya,5.33,1.476,0.943,0.606,0.477,0.106
Indonesia,5.24,1.382,0.883,0.539,0.62,0.468
Ivory Coast,5.235,1.094,0.442,0.322,0.451,0.149
North Macedonia,5.199,1.505,0.863,0.637,0.488,0.215
Albania,5.199,1.439,0.646,0.719,0.511,0.138
South Africa,5.194,1.425,1.088,0.361,0.442,0.089
Azerbaijan,5.173,1.458,1.093,0.56,0.601,0.023
Gambia,5.164,0.785,0.621,0.369,0.367,0.388
Bangladesh,5.155,1.06,0.614,0.581,0.622,0.125
Laos,5.14,1.239,0.654,0.479,0.679,0.197
Algeria,5.122,1.363,0.97,0.643,0.146,0.106
Liberia,5.122,0.636,0.67,0.309,0.405,0.178
Ukraine,5.084,1.411,1.081,0.583,0.473,0.188
Congo,5.075,0.95,0.405,0.355,0.431,0.13
Morocco,5.06,1.208,0.268,0.565,0.492,0.02
Mozambique,5.048,0.578,0.66,0.191,0.593,0.185
Cameroon,5.048,0.968,0.672,0.317,0.397,0.152
Senegal,5.046,0.933,0.53,0.447,0.494,0.143
Niger,5.003,0.57,0.56,0.326,0.571,0.165
Georgia,4.973,1.467,0.612,0.595,0.508,0.0
Gabon,4.958,1.459,0.738,0.396,0.343,0.032
Iraq,4.941,1.289,0.682,0.554,0.328,0.147
Venezuela,4.925,0.0,0.968,0.578,0.283,0.225
Guinea,4.891,0.848,0.566,0.275,0.334,0.214
Iran,4.888,1.41,0.741,0.642,0.281,0.241
Ghana,4.872,1.112,0.595,0.409,0.5,0.23
Turkey,4.744,1.707,0.865,0.702,0.209,0.087
Burkina Faso,4.67,0.779,0.565,0.32,0.382,0.186
Cambodia,4.64,1.019,0.732,0.505,0.74,0.166
Benin,4.623,0.932,0.064,0.335,0.479,0.127
Comoros,4.609,0.899,0.476,0.424,0.185,0.195
Uganda,4.603,0.777,0.875,0.418,0.402,0.222
Nigeria,4.552,1.079,0.732,0.3,0.444,0.175
Kenya,4.543,1.032,0.605,0.401,0.44,0.322
Tunisia,4.516,1.35,0.596,0.656,0.316,0.029
Pakistan,4.516,1.049,0.413,0.374,0.448,0.181
Palestinian Territories,4.483,1.148,0.957,0.521,0.336,0.073
Mali,4.479,0.792,0.483,0.311,0.35,0.128
Namibia,4.459,1.292,0.877,0.354,0.384,0.067
Eswatini,4.396,1.274,0.786,0.197,0.259,0.038
Myanmar,4.394,1.038,0.829,0.491,0.513,0.452
Sri Lanka,4.362,1.415,0.934,0.66,0.529,0.15
Madagascar,4.339,0.67,0.645,0.378,0.202,0.143
Egypt,4.288,1.388,0.732,0.548,0.469,0.041
Chad,4.251,0.662,0.506,0.225,0.18,0.182
Ethiopia,4.241,0.788,0.809,0.457,0.472,0.205
Yemen,4.197,0.691,1.043,0.384,0.33,0.09
Mauritania,4.153,1.1,0.865,0.45,0.304,0.088
Jordan,4.152,1.324,0.724,0.675,0.476,0.058
Togo,4.112,0.771,0.322,0.36,0.292,0.174
India,3.777,1.167,0.376,0.471,0.647,0.198
Zambia,3.76,0.93,0.577,0.306,0.525,0.203
Malawi,3.75,0.648,0.279,0.388,0.477,0.14
Tanzania,3.702,0.848,0.597,0.425,0.578,0.248
Sierra Leone,3.574,0.686,0.416,0.273,0.387,0.202
Lesotho,3.512,0.839,0.848,0.0,0.419,0.076
Botswana,3.471,1.503,0.815,0.28,0.571,0.012
Rwanda,3.268,0.785,0.133,0.462,0.621,0.187
Zimbabwe,2.995,0.947,0.69,0.27,0.329,0.106
Lebanon,2.955,1.392,0.498,0.631,0.103,0.082
Afghanistan,2.404,0.758,0.0,0.289,0.0,0.089
